Average Fitness,Maximum Fitness,Dominant Fitness
49.7028,58.3412,39.4028
53.4827,58.9571,57.9094
55.8299,59.9141,57.9094
57.5484,61.3081,57.9094
58.6322,61.7717,58.9571
59.3294,62.692,59.9141
60.2041,64.0711,61.021
61.0183,64.5469,61.424
61.7137,64.9649,61.9182
62.514,65.9509,63.2798
63.217,65.9509,64.1034
63.8921,66.3736,64.1034
64.4542,66.9207,65.9509
65.0897,67.7301,65.9509
65.5819,68.3825,65.9509
65.9956,68.3825,66.9207
66.4036,68.7761,67.7301
66.8785,69.3883,67.7301
67.2624,69.3883,68.3825
67.6417,69.3883,68.3825
67.9233,69.8519,68.7761
68.2272,70.3949,69.246
68.5136,70.3949,69.246
68.7582,70.8497,69.3883
69.0693,70.8497,70.3949
69.3721,71.0002,70.3949
69.5634,71.418,70.3949
69.7499,71.5705,70.3949
69.868,71.5705,70.7471
70.0197,71.5705,70.8497
70.1185,71.7012,70.9901
70.3078,71.7012,71.0332
70.4128,71.8135,71.4905
70.5507,72.449,71.5705
70.6756,72.449,71.5705
70.7226,72.449,71.5705
70.7956,72.7644,71.7012
71.0269,72.7644,71.7012
71.1388,72.7644,72.449
71.3321,72.7644,72.449
71.5004,72.7644,72.449
71.5171,72.8364,72.449
71.663,72.8954,72.7644
71.7205,72.8954,72.7644
71.8638,72.9674,72.7644
71.7795,72.9674,72.7644
71.874,73.1457,72.8954
71.8886,73.1457,72.8954
71.9625,73.1457,72.8954
71.9482,73.1457,72.9674
72.0449,73.3487,72.9674
72.0219,73.2767,72.9674
72.0863,73.3487,73.1457
72.1785,73.5054,73.1457
72.2354,73.512,73.1457
72.2393,73.512,73.1457
72.3568,73.5054,73.2767
72.3187,73.5054,73.2767
72.3674,73.512,73.3487
72.3807,73.6364,73.381
72.4649,73.6364,73.381
72.427,73.6364,73.381
72.4921,73.6364,73.512
72.6136,73.6364,73.512
72.596,73.6364,73.512
72.6146,73.9754,73.6364
72.5858,73.9754,73.6364
72.5942,73.9754,73.6364
72.6143,73.9754,73.6364
72.6617,73.9754,73.6364
72.7001,73.9754,73.6364
72.7116,73.9754,73.6364
72.8665,73.9754,73.9754
72.9641,74.3248,73.9754
72.9333,74.3248,73.9754
72.8734,74.3248,73.9754
72.9605,74.3248,73.9754
72.9628,74.3248,73.9754
73.0356,74.3248,73.9754
73.1135,74.3248,73.9754
73.198,74.3853,74.3248
73.2188,74.3853,74.3248
73.3379,74.3853,74.3248
73.3409,74.3853,74.3248
73.2815,74.3853,74.3248
73.2827,74.4492,74.3248
73.2621,74.4492,74.3853
73.2417,74.3853,74.3853
73.3586,74.3853,74.3853
73.332,74.3853,74.3853
73.3374,74.3853,74.3853
73.3313,74.3853,74.3853
73.3179,74.4855,74.3853
73.3234,74.4855,74.3853
73.2613,74.4855,74.3853
73.2837,74.4855,74.3853
73.3154,74.5496,74.3853
73.3281,74.5496,74.3853
73.3834,74.5496,74.3853
73.3498,74.5496,74.4855
